10,248430,14
10,249780,12
10,249000,11
10,240450,11
10,236240,14
10,199030,11
10,243970,11
10,214130,13
10,204530,13
10,242780,15
10,216350,13
10,248630,14
10,227130,12
10,208390,15
10,239070,14
10,238530,12
10,190580,13
10,234580,13
10,241870,13
10,247040,13
10,209080,12
10,233480,15
10,136540,11
10,224040,10
10,245480,13
10,188530,12
10,245220,13
10,220590,14
10,238630,15
10,248830,13
10,227830,12
10,230490,13
10,234220,14
20,249900,11
10,244320,13
10,234080,13
20,242880,14
20,227690,14
20,249970,13
20,243780,12
20,228980,15
20,239580,15
20,201440,11
20,242870,15
20,245280,14
20,243940,13
20,244240,13
20,202470,13
20,238970,15
20,249950,11
20,198470,14
20,245920,15
20,248580,15
20,249230,13
20,249980,15
20,207240,11
20,201940,13
20,207380,14
20,243730,14
20,238370,15
20,233470,14
20,248890,13
20,191870,13
20,245530,16
20,217070,14
20,249640,13
20,245480,14
20,241630,13
20,235270,14
20,249980,10
20,201230,13
20,239870,13
20,249990,12
20,241440,12
20,242830,14
20,210880,14
20,244440,13
20,234830,13
20,236730,14
20,246430,14
20,247680,12
20,246820,14
20,210590,15
20,249940,13
20,239330,14
20,246470,14
20,249580,14
20,249940,12
20,248390,13
20,229180,13
20,232440,12
20,248230,13
20,204230,13
20,233190,13
20,245840,13
30,247380,16
30,237680,14
30,248520,14
30,246330,15
30,247990,14
30,249930,11
30,234290,15
30,248120,14
30,249930,14
30,238330,15
30,247930,14
30,241090,14
30,249970,14
30,227980,13
30,243770,15
30,248880,16
30,245970,14
30,229870,15
30,240180,14
30,229090,13
30,247720,15
30,240220,14
30,245220,14
30,237100,13
30,234780,16
30,249900,10
30,249970,12
30,249250,14
30,244120,15
30,238580,15
30,248870,14
30,227190,14
30,244030,15
30,220480,14
30,231170,16
30,249890,14
30,249470,15
30,230620,14
30,246880,15
30,243730,14
30,224130,13
30,232730,14
30,242990,15
30,225430,13
30,220130,14
30,240520,16
30,238440,14
